,price,review_scores_value,room_type,instant_bookable,host_identity_verified,number_of_reviews,beds,bath,bedrooms,reviews_per_month,neighbourhood_cleansed,property_type,availability_30,availability_60,availability_90,availability_365,profit_per_bed
0,320.5918618988903,4.75,Entire home/apt,f,t,12,2.0,1 ,1.0,0.54,Providencia,Entire rental unit,0,0,0,216,160.29593094944514
1,53.0924784217016,,Private room,t,t,0,1.0,,1.0,,Providencia,Private room in rental unit,28,58,88,178,53.0924784217016
2,54.09371146732429,4.44,Entire home/apt,f,t,45,1.0,1 ,1.0,0.43,Providencia,Entire rental unit,1,2,2,2,54.09371146732429
3,184.95561035758325,4.68,Entire home/apt,f,t,38,8.0,2 ,2.0,0.59,Lo Barnechea,Entire rental unit,30,60,90,365,23.119451294697907
4,86.31319358816276,5.0,Entire home/apt,f,t,2,4.0,2 ,2.0,0.03,Providencia,Entire rental unit,30,60,90,365,21.57829839704069
5,60.10480887792848,,Private room,f,f,0,1.0,1 ,1.0,,Recoleta,Private room in rental unit,30,60,90,365,60.10480887792848
6,70.12207151664612,4.67,Entire home/apt,f,t,7,2.0,1 ,1.0,0.07,Santiago,Entire rental unit,30,60,90,365,35.06103575832306
7,80.13933415536376,,Private room,f,f,0,1.0,3 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,80.13933415536376
8,27.69173859432799,,Private room,t,f,0,1.0,1  ,1.0,,La Florida,Private room in residential home,28,58,88,363,27.69173859432799
9,145.25277435265104,,Entire home/apt,f,f,0,1.0,,1.0,,Providencia,Entire rental unit,30,60,90,365,145.25277435265104
10,60.10480887792848,3.89,Entire home/apt,t,f,10,1.0,1 ,1.0,0.08,Santiago,Entire rental unit,30,60,90,365,60.10480887792848
11,12.927250308261408,,Private room,f,f,0,1.0,,1.0,,Santiago,Private room in residential home,30,60,90,365,12.927250308261408
12,35.0616522811344,4.91,Private room,f,t,39,2.0,2 ,2.0,0.33,Las Condes,Private room in rental unit,30,60,90,365,17.5308261405672
13,29.191122071516645,4.71,Entire home/apt,f,f,159,1.0,1 ,1.0,1.39,Providencia,Entire condominium (condo),0,5,31,272,29.191122071516645
14,72.12577065351418,,Private room,f,t,0,1.0,0 ,1.0,,Ñuñoa,Private room in rental unit,30,60,90,365,72.12577065351418
15,100.17385943279902,,Entire home/apt,f,f,0,3.0,,1.0,,Santiago,Entire rental unit,30,60,90,365,33.39128647759967
16,44.38964241676942,4.47,Entire home/apt,f,t,58,1.0,1 ,1.0,0.5,Providencia,Entire rental unit,21,51,81,356,44.38964241676942
17,44.38964241676942,4.6,Entire home/apt,f,t,12,1.0,1 ,1.0,0.1,Providencia,Entire rental unit,0,19,49,324,44.38964241676942
18,48.72749691738594,5.0,Private room,f,f,2,1.0,1 ,1.0,0.02,Las Condes,Private room in residential home,30,60,90,365,48.72749691738594
19,70.60542540073983,,Private room,f,f,0,3.0,2 ,1.0,,Santiago,Private room in residential home,30,60,90,365,23.53514180024661
20,60.10480887792848,,Private room,f,f,0,2.0,1 ,1.0,,Las Condes,Private room in rental unit,30,60,90,365,30.05240443896424
21,280.48828606658446,,Entire home/apt,f,f,0,1.0,2 ,2.0,,Santiago,Entire rental unit,30,60,90,365,280.48828606658446
22,79.55487053020961,1.0,Private room,f,f,2,1.0,,1.0,0.02,Santiago,Private room in rental unit,30,60,90,365,79.55487053020961
23,64.6387176325524,,Private room,t,f,0,2.0,1 ,1.0,,Las Condes,Private room in rental unit,30,60,90,365,32.3193588162762
24,64.6387176325524,,Private room,t,f,0,1.0,1  ,1.0,,Las Condes,Private room in condominium (condo),30,60,90,365,64.6387176325524
25,16.90505548705302,,Private room,f,f,0,1.0,,1.0,,Santiago,Private room in residential home,29,59,88,88,16.90505548705302
26,48.08384710234279,4.0,Private room,t,f,1,1.0,2 ,1.0,0.01,Ñuñoa,Private room in residential home,30,60,90,365,48.08384710234279
27,80.13933415536376,,Entire home/apt,f,f,0,1.0,1.5 ,1.0,,Santiago,Entire rental unit,30,60,90,365,80.13933415536376
28,60.10480887792848,,Private room,f,f,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,60.10480887792848
29,45.07891491985203,,Private room,f,f,0,3.0,2 ,1.0,,Providencia,Private room in rental unit,30,60,90,365,15.026304973284011
30,16.28236744759556,,Private room,f,f,0,1.0,1  ,1.0,,Santiago,Private room in rental unit,30,60,90,365,16.28236744759556
31,75.13070283600493,,Private room,f,f,0,1.0,,1.0,,Providencia,Private room in rental unit,30,60,90,365,75.13070283600493
32,30.051787916152897,4.86,Entire home/apt,f,t,8,1.0,1 ,1.0,0.15,Recoleta,Entire rental unit,0,0,0,25,30.051787916152897
33,55.096177558569664,,Private room,f,f,0,1.0,,1.0,,Santiago,Private room in rental unit,30,60,90,365,55.096177558569664
34,40.07028360049322,5.0,Private room,f,f,1,2.0,1 ,1.0,0.01,Providencia,Private room in residential home,29,59,89,364,20.03514180024661
35,59.66707768187423,,Private room,f,f,0,1.0,1 ,1.0,,Las Condes,Private room in rental unit,30,60,90,365,59.66707768187423
37,100.15043156596792,,Private room,f,f,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,100.15043156596792
38,159.11097410604194,4.84,Entire home/apt,t,t,82,2.0,2 ,2.0,0.71,Las Condes,Entire rental unit,30,60,90,365,79.55548705302097
39,50.08754623921085,,Private room,f,f,0,1.0,2 ,1.0,,Providencia,Private room in rental unit,30,60,90,365,50.08754623921085
40,70.22441430332923,4.63,Entire home/apt,f,t,39,1.0,1 ,1.0,0.35,Providencia,Entire rental unit,0,0,0,0,70.22441430332923
41,76.13316892725031,4.65,Entire home/apt,f,t,32,2.0,1 ,1.0,0.3,Providencia,Entire rental unit,0,0,0,0,38.066584463625155
42,58.53267570900123,,Entire home/apt,f,t,0,2.0,1 ,1.0,,Las Condes,Entire rental unit,29,59,89,364,29.266337854500616
43,120.20961775585695,,Private room,f,f,0,1.0,0 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,120.20961775585695
44,20.96177558569667,4.38,Entire home/apt,f,t,13,1.0,1 ,1.0,0.18,Santiago,Entire rental unit,11,41,71,346,20.96177558569667
45,34.80517879161529,5.0,Private room,f,f,1,1.0,1  ,1.0,0.02,La Reina,Private room in residential home,28,58,88,363,34.80517879161529
46,60.10480887792848,,Private room,f,f,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,60.10480887792848
47,41.76695437731196,4.6,Shared room,f,f,5,2.0,1  ,1.0,0.06,Lo Barnechea,Shared room in residential home,30,60,90,365,20.88347718865598
48,58.83353884093712,4.86,Entire home/apt,t,t,187,4.0,2 ,2.0,1.62,Las Condes,Entire rental unit,4,28,38,313,14.70838471023428
49,38.63748458692972,4.62,Entire home/apt,f,t,45,1.0,1 ,1.0,0.41,Las Condes,Entire rental unit,0,0,0,178,38.63748458692972
50,40.07028360049322,,Private room,f,f,0,1.0,0 ,1.0,,Ñuñoa,Private room in residential home,30,60,90,365,40.07028360049322
51,26.045622688039455,4.71,Entire home/apt,t,f,17,2.0,1 ,1.0,0.51,Santiago,Entire rental unit,29,59,89,364,13.022811344019727
52,16.478421701602958,4.52,Private room,f,f,33,1.0,1.5  ,1.0,0.28,Las Condes,Private room in residential home,28,58,88,363,16.478421701602958
53,26.849568434032054,,Private room,f,f,0,1.0,,1.0,,Independencia,Private room in residential home,30,60,90,365,26.849568434032054
54,60.10480887792848,,Entire home/apt,f,f,0,1.0,,1.0,,Santiago,Entire rental unit,30,60,90,365,60.10480887792848
55,40.07028360049322,,Private room,f,f,0,1.0,,1.0,,Recoleta,Private room in rental unit,30,60,90,365,40.07028360049322
56,40.07028360049322,,Private room,t,f,0,1.0,,1.0,,Providencia,Private room in rental unit,30,60,90,365,40.07028360049322
57,35.0616522811344,,Private room,f,f,0,1.0,,1.0,,Ñuñoa,Private room in rental unit,30,60,90,365,35.0616522811344
58,31.4845869297164,4.67,Private room,f,f,4,1.0,1  ,1.0,0.05,Recoleta,Private room in rental unit,24,54,84,359,31.4845869297164
59,66.5462392108508,,Private room,f,t,0,1.0,1 ,1.0,,Providencia,Private room in rental unit,30,60,90,365,66.5462392108508
60,35.0616522811344,4.75,Entire home/apt,f,t,119,1.0,1 ,1.0,0.98,Santiago,Entire rental unit,0,0,0,267,35.0616522811344
61,51.92108508014797,,Private room,f,f,0,1.0,,1.0,,San Miguel,Private room in residential home,30,60,90,365,51.92108508014797
62,49.7225647348952,,Private room,f,f,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,49.7225647348952
63,29.59309494451295,4.64,Entire home/apt,f,t,371,1.0,1 ,1.0,3.26,Recoleta,Entire rental unit,0,0,19,266,29.59309494451295
64,48.08877928483354,3.75,Private room,t,t,15,1.0,,1.0,0.14,Providencia,Private room in rental unit,8,38,68,343,48.08877928483354
65,73.12700369913686,,Entire home/apt,f,f,1,1.0,1 ,1.0,0.02,Santiago,Entire rental unit,9,39,69,344,73.12700369913686
66,45.07891491985203,4.79,Entire home/apt,t,f,178,4.0,1 ,1.0,1.7,Providencia,Entire rental unit,2,12,38,218,11.269728729963008
68,50.08754623921085,5.0,Entire home/apt,f,f,4,3.0,1 ,1.0,0.05,Santiago,Entire condominium (condo),0,0,0,208,16.695848746403616
69,45.07891491985203,4.25,Private room,f,f,4,1.0,1 ,1.0,0.03,Santiago,Private room in rental unit,30,60,90,365,45.07891491985203
70,30.826140567200987,5.0,Entire home/apt,f,f,2,2.0,1 ,1.0,0.03,Santiago,Entire condominium (condo),0,20,42,129,15.413070283600494
71,55.096177558569664,4.57,Entire home/apt,f,t,28,1.0,1 ,1.0,0.26,Recoleta,Entire condominium (condo),30,60,90,365,55.096177558569664
72,46.510480887792845,,Private room,f,f,0,2.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,23.255240443896422
73,50.08754623921085,4.0,Private room,f,f,1,1.0,,1.0,0.01,Santiago,Private room in rental unit,30,60,90,365,50.08754623921085
74,25.04315659679408,,Private room,f,f,0,1.0,,1.0,,Santiago,Private room in rental unit,30,60,90,365,25.04315659679408
75,30.051787916152897,4.79,Entire home/apt,f,t,24,1.0,1 ,1.0,0.31,Recoleta,Entire rental unit,0,0,0,5,30.051787916152897
76,39.77805178791616,,Private room,f,f,0,1.0,,1.0,,Ñuñoa,Private room in rental unit,30,60,90,365,39.77805178791616
78,238.66584463625156,,Private room,f,f,0,1.0,1 ,1.0,,Vitacura,Private room in rental unit,30,60,90,365,238.66584463625156
79,160.2786683107275,4.75,Entire home/apt,f,f,8,1.0,1 ,1.0,0.11,Providencia,Entire rental unit,27,57,87,362,160.2786683107275
80,110.19235511713931,,Private room,t,f,0,1.0,1 ,1.0,,Providencia,Private room in rental unit,29,59,89,364,110.19235511713931
81,40.07028360049322,,Shared room,f,t,0,1.0,1  ,1.0,,Ñuñoa,Shared room in rental unit,30,60,90,365,40.07028360049322
82,66.5462392108508,4.67,Entire home/apt,f,f,23,1.0,1 ,1.0,0.22,Santiago,Entire villa,30,60,90,365,66.5462392108508
83,58.2379778051788,,Private room,f,t,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,58.2379778051788
84,90.15659679408138,,Private room,t,f,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,90.15659679408138
85,90.15659679408138,,Entire home/apt,f,f,0,3.0,1 ,2.0,,Santiago,Entire rental unit,30,60,90,365,30.05219893136046
86,59.66707768187423,,Private room,f,f,0,1.0,,1.0,,Las Condes,Private room in residential home,30,60,90,365,59.66707768187423
87,66.5462392108508,4.44,Entire home/apt,f,t,17,1.0,1 ,1.0,0.18,Providencia,Entire rental unit,24,54,84,359,66.5462392108508
88,24.66091245376079,,Private room,t,t,0,1.0,1  ,1.0,,Santiago,Private room in rental unit,30,60,90,365,24.66091245376079
89,97.16892725030826,,Private room,f,f,0,1.0,0 ,1.0,,Providencia,Private room in rental unit,30,60,90,365,97.16892725030826
90,49.7225647348952,,Private room,f,f,0,1.0,0 ,1.0,,Ñuñoa,Private room in rental unit,30,60,90,365,49.7225647348952
91,20.034525277435264,,Private room,t,f,1,2.0,1  ,1.0,0.03,Recoleta,Private room in condominium (condo),23,53,83,358,10.017262638717632
92,44.07644882860666,,Private room,f,f,0,2.0,1.5 ,1.0,,Ñuñoa,Private room in residential home,30,60,90,365,22.03822441430333
93,75.13070283600493,4.27,Entire home/apt,t,t,56,4.0,2 ,2.0,0.64,Providencia,Entire rental unit,26,56,86,361,18.782675709001232
94,26.045622688039455,4.93,Private room,f,t,77,2.0,1  ,1.0,0.74,Santiago,Private room in rental unit,14,29,59,239,13.022811344019727
95,53.0924784217016,4.5,Private room,f,t,4,7.0,4 ,4.0,0.05,Providencia,Private room in bed and breakfast,23,53,83,358,7.5846397745288
96,49.7225647348952,,Private room,f,t,0,1.0,0 ,1.0,,Providencia,Private room in rental unit,30,60,90,365,49.7225647348952
97,12.68557336621455,,Private room,f,t,1,1.0,1  ,1.0,0.02,Las Condes,Private room in residential home,0,0,24,113,12.68557336621455
98,90.15659679408138,,Private room,f,f,0,1.0,,1.0,,Santiago,Private room in rental unit,30,60,90,365,90.15659679408138
100,27.844636251541303,,Entire home/apt,f,t,0,1.0,2 ,1.0,,Providencia,Entire rental unit,1,1,1,173,27.844636251541303
101,132.23057953144266,,Entire home/apt,f,t,0,2.0,1 ,1.0,,Santiago,Entire rental unit,30,60,90,365,66.11528976572133
102,370.64488286066586,,Private room,f,f,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,370.64488286066586
103,69.61035758323058,,Private room,f,f,0,4.0,2 ,1.0,,Maipú,Private room in residential home,30,60,90,365,17.402589395807645
104,75.13070283600493,,Private room,f,f,0,1.0,1.5 ,1.0,,Providencia,Private room in rental unit,30,60,90,365,75.13070283600493
105,65.8249075215783,,Private room,f,f,0,3.0,2 ,1.0,,Vitacura,Private room in rental unit,30,60,90,365,21.9416358405261
106,35.0616522811344,4.4,Private room,t,f,5,1.0,1  ,1.0,0.61,Providencia,Private room in residential home,30,59,89,364,35.0616522811344
107,84.14673242909987,,Private room,f,f,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,29,59,89,364,84.14673242909987
108,136.2379778051788,4.73,Entire home/apt,f,t,51,3.0,2 ,2.0,0.45,Vitacura,Entire rental unit,10,26,37,312,45.41265926839293
109,22.19482120838471,4.7,Entire home/apt,f,t,73,1.0,1 ,1.0,0.69,Santiago,Entire rental unit,1,31,61,336,22.19482120838471
110,646.387176325524,4.0,Entire home/apt,f,t,1,1.0,,2.0,0.02,Lo Barnechea,Entire rental unit,30,60,90,365,646.387176325524
111,50.08754623921085,,Private room,f,f,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,50.08754623921085
112,130.2268803945746,4.73,Entire home/apt,f,t,11,4.0,2.5 ,2.0,0.3,Las Condes,Entire rental unit,0,0,0,267,32.55672009864365
113,20.034525277435264,4.87,Private room,t,t,146,2.0,1.5  ,1.0,1.27,Recoleta,Private room in rental unit,25,55,85,360,10.017262638717632
114,426.1886559802713,4.5,Entire home/apt,f,f,14,6.0,2 ,3.0,0.18,Lo Barnechea,Entire rental unit,30,60,90,365,71.03144266337854
115,53.70036991368681,4.92,Entire home/apt,f,f,12,2.0,2 ,2.0,0.13,Las Condes,Entire rental unit,5,32,40,256,26.850184956843403
116,198.8890258939581,,Private room,f,f,0,1.0,1 ,1.0,,Lo Barnechea,Private room in residential home,30,60,90,365,198.8890258939581
118,10.938347718865598,4.4,Private room,f,t,6,4.0,3 ,5.0,1.53,Ñuñoa,Private room in residential home,0,0,24,299,2.7345869297163996
119,17.76078914919852,4.5,Private room,f,t,5,1.0,1.5  ,1.0,0.05,Ñuñoa,Private room in residential home,0,0,24,299,17.76078914919852
120,12.927250308261408,4.83,Private room,f,t,8,1.0,1.5  ,1.0,0.08,Ñuñoa,Private room in residential home,10,40,70,345,12.927250308261408
121,80.13933415536376,,Entire home/apt,f,f,0,1.0,,1.0,,Santiago,Entire rental unit,23,53,83,358,80.13933415536376
122,18.49568434032059,4.9,Private room,f,t,71,1.0,1  ,1.0,0.7,Providencia,Private room in residential home,0,0,24,299,18.49568434032059
123,596.6658446362516,,Private room,f,f,0,7.0,6 ,1.0,,Peñalolén,Private room in residential home,30,60,90,365,85.2379778051788
124,45.07891491985203,4.66,Entire home/apt,f,t,110,2.0,1 ,1.0,1.84,Providencia,Entire rental unit,11,41,71,161,22.539457459926016
125,60.10480887792848,,Private room,f,f,0,1.0,1 ,1.0,,Santiago,Private room in rental unit,30,60,90,365,60.10480887792848
126,55.096177558569664,3.33,Entire home/apt,f,f,4,1.0,2 ,2.0,0.04,Santiago,Entire rental unit,30,60,90,365,55.096177558569664
127,58.10110974106042,,Entire home/apt,f,f,0,3.0,1 ,1.0,,Santiago,Entire rental unit,30,60,90,365,19.367036580353474
128,46.72626387176326,4.86,Entire home/apt,f,f,7,1.0,1 ,1.0,0.14,Providencia,Entire rental unit,28,58,88,363,46.72626387176326
129,110.19235511713931,4.5,Entire home/apt,f,t,12,3.0,1 ,2.0,0.16,Providencia,Entire rental unit,24,54,84,359,36.73078503904644
130,85.14796547472257,5.0,Entire home/apt,f,f,1,2.0,1 ,1.0,0.01,Santiago,Entire rental unit,30,60,90,365,42.573982737361284
131,61.10604192355117,4.56,Entire home/apt,t,t,182,3.0,2 ,2.0,1.63,Providencia,Entire rental unit,11,36,66,341,20.368680641183722
132,50.08754623921085,,Private room,f,f,0,1.0,,1.0,,Santiago,Private room in rental unit,30,60,90,365,50.08754623921085
